"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1926991108573106573","Mon May 26 13:17:36 +0000 2025","128","Macron standing there for a second and waving awkwardly after being slapped is so fucking cartoony https://t.co/yWGQZV2Jnz","1926991108573106573","https://pbs.twimg.com/ext_tw_video_thumb/1926940727319187457/pu/img/ADTDhKkrZBHHEYZZ.jpg","","en","","9","12","26","https://x.com/undefined/status/1926991108573106573","9275052",
"1927019492808282384","Mon May 26 15:10:24 +0000 2025","7980","France s President Emmanuel Macron was hit in the face by his wife as they arrived in Vietnam. https://t.co/KahvlgoTN7","1927019492808282384","https://pbs.twimg.com/amplify_video_thumb/1926939448983302144/img/YqrQT52DSZ9M0F4n.jpg","","en","","161","1094","1518","https://x.com/undefined/status/1927019492808282384","15212187",
"1926957657258070072","Mon May 26 11:04:41 +0000 2025","168","Bro smacking bro. These people are so evil and ridiculous. Brigitte is a dude. Macron is a deep state puppet liar. https://t.co/Otb7INmODy","1926957657258070072","https://pbs.twimg.com/amplify_video_thumb/1926957599150276610/img/q_emMr_rOa84qTAB.jpg","","en","","1","27","37","https://x.com/undefined/status/1926957657258070072","1671220869236916231",
"1926962882530410560","Mon May 26 11:25:27 +0000 2025","81","Brigitte: Do I look fat? Emmanuel Macron: *thinks for 2 seconds* Brigitte: **SLAP** https://t.co/RH5PsS34n4","1926962882530410560","https://pbs.twimg.com/ext_tw_video_thumb/1926962814217793536/pu/img/l1u_e3Q5JyatYNi0.jpg","","en","","4","11","21","https://x.com/undefined/status/1926962882530410560","1292467052876242945",
"1927129797932593421","Mon May 26 22:28:42 +0000 2025","53"," Everyone has a plan until they get punched in the mouth. - Brigitte Macron https://t.co/u2z4eFGRVS","1927129797932593421","https://pbs.twimg.com/ext_tw_video_thumb/1927129760431316992/pu/img/uW-qjFh7OLobQeMH.jpg","","en","","0","7","11","https://x.com/undefined/status/1927129797932593421","861525013819785216",
"1927111894235480398","Mon May 26 21:17:34 +0000 2025","99","Be honest! Do you respect president Macron ? A. Yes B. No https://t.co/qLGeN9UWzO","1927111894235480398","https://pbs.twimg.com/media/Gr56DKgXgAEs4HZ.jpg","","en","","0","243","26","https://x.com/undefined/status/1927111894235480398","1895831551541235712",
"1927085522951762322","Mon May 26 19:32:46 +0000 2025","117"," What happened to your eye Emmanuel Macron? I fell https://t.co/G2kPNCXVsZ","1927085522951762322","https://pbs.twimg.com/media/Gr5iEeJWgAEMVjt.jpg","","en","","6","47","18","https://x.com/undefined/status/1927085522951762322","214583605",
"1926939615841190345","Mon May 26 09:52:59 +0000 2025","10766","Bizarre moment Emmanuel Macron is slapped by his wife Brigitte https://t.co/kYsE5MCDV1","1926939615841190345","https://pbs.twimg.com/amplify_video_thumb/1926939448983302144/img/YqrQT52DSZ9M0F4n.jpg","","en","","1337","1514","2100","https://x.com/undefined/status/1926939615841190345","34655603",
"1927049647291343316","Mon May 26 17:10:13 +0000 2025","1002","If you are having a bad day remember Macron is having a worse one. https://t.co/MJk15A2Mnb","1927049647291343316","https://pbs.twimg.com/media/Gr5BcNuWIAI_Oer.jpg","","en","","4","39","57","https://x.com/undefined/status/1927049647291343316","775104300452311041",
"1927039052596879472","Mon May 26 16:28:07 +0000 2025","1098","For the first time ever today I considered the option of Macron s husband actually being a woman because I ve never seen a man fight like this. https://t.co/QE0alOIpVj","1927039052596879472","https://pbs.twimg.com/media/Gr43zfPXIAEwANf.jpg","","en","","8","122","59","https://x.com/undefined/status/1927039052596879472","775104300452311041",
"1926991474500989268","Mon May 26 13:19:03 +0000 2025","92","Bizarre moment French President Emanuel Macron is bitch-slapped by his man-wife. https://t.co/7XWLBz5D7e","1926991474500989268","https://pbs.twimg.com/amplify_video_thumb/1926939448983302144/img/YqrQT52DSZ9M0F4n.jpg","","en","","21","21","15","https://x.com/undefined/status/1926991474500989268","627913245",
"1926982408626147628","Mon May 26 13:42:55 +0000 2025","106","@dom_lucre Emmanuel Macron promises to be a good boy after getting smacked in the face by his daddy. https://t.co/fsQBh4JJql","1926997480895312142","https://pbs.twimg.com/amplify_video_thumb/1926997368802578432/img/9aI9S6rGQuL7z7Fw.jpg","dom_lucre","en","","1","4","17","https://x.com/undefined/status/1926997480895312142","1576104206531960832",
"1926977321140916361","Mon May 26 12:22:49 +0000 2025","724","French president Macron getting punched in the face by his wife while exiting a plane. https://t.co/jEMoIeywKA","1926977321140916361","https://pbs.twimg.com/amplify_video_thumb/1926977268359847938/img/lRPugwuQXmBmC3Ma.jpg","","en","","9","38","52","https://x.com/undefined/status/1926977321140916361","1512907688186826753",
"1926997493578866895","Mon May 26 13:42:59 +0000 2025","199","Macron got slapped? https://t.co/mdm6JkeSA6","1926997493578866895","https://pbs.twimg.com/amplify_video_thumb/1926997224996696064/img/rnADNzjo0xJUUTyg.jpg","","en","","1","37","36","https://x.com/undefined/status/1926997493578866895","1699573975385550848",
"1927054809330287080","Mon May 26 17:30:44 +0000 2025","31","French President Emmanuel Macron gets hit by his abuser wife publicly . This woman is a disgrace to the country of #France. #DomesticViolenceOnMen is the reality. World need gender neutral law on #DomesticViolence #DomesticAbuse @UN @UNWomenWatch @EmmanuelMacron @MLJ_GoI https://t.co/kzAWEFtVcW","1927054809330287080","https://pbs.twimg.com/ext_tw_video_thumb/1927054742145884161/pu/img/N1Eswm1GZ90135aJ.jpg","","en","","1","3","21","https://x.com/undefined/status/1927054809330287080","64355384",
"1926881758567358896","Mon May 26 06:06:13 +0000 2025","292","🇷🇺🇫🇷 4 days before the Russian invasion (February 20 2022) Macron told Putin that the Minsk agreements had no legal force and is worthless! Macron smashed the last hopes Putin had for a diplomatic settlement Emanuel wanted war. 5/ https://t.co/027l8fiIrc","1926882548111622488","https://pbs.twimg.com/amplify_video_thumb/1926882491777863680/img/s5OPW-Y-N4yer2qu.jpg","MyLordBebo","en","","6","5","70","https://x.com/undefined/status/1926882548111622488","1121807798826930177",
"1927000656797147161","Mon May 26 13:55:33 +0000 2025","21942","Emmanuel Macron s wife slapped him in the face and then refused to hold his arm https://t.co/P6MhC5wIKe","1927000656797147161","https://pbs.twimg.com/amplify_video_thumb/1926939448983302144/img/YqrQT52DSZ9M0F4n.jpg","","en","","482","2651","4526","https://x.com/undefined/status/1927000656797147161","1326229737551912960",
"1926608491294113982","Sun May 25 11:57:13 +0000 2025","3318","Remember how Starmer Macron Tusk &amp; Merz went to Kyiv on May 10 to meet Zelenskyy &amp; push for a 30-day unconditional ceasefire starting May 12? russia only intensified its attacks. Where are the sanctions? Where are the weapons? Not even a word of condemnation from any of them.","1926608491294113982","","","en","","32","100","778","https://x.com/undefined/status/1926608491294113982","1299083712047591425",
"1927050893511348259","Mon May 26 17:15:10 +0000 2025","135","Brigitte Macron en privat #memsromànics https://t.co/5JGIT6h9rr","1927050893511348259","https://pbs.twimg.com/media/Gr5CkinW0AAZ4TP.jpg","","en","","0","3","15","https://x.com/undefined/status/1927050893511348259","1560706315034451974",
"1926974195092623861","Mon May 26 12:10:24 +0000 2025","6578","New photo of Macron released. https://t.co/3HS4wu8J4w","1926974195092623861","https://pbs.twimg.com/media/Gr380QZXIAAMHvQ.jpg","","en","","108","353","899","https://x.com/undefined/status/1926974195092623861","1647291168",
